DATE,CUSIP
3/7/2019,345370CR9
3/7/2019,36962GT95
3/8/2019,040114GX2
3/8/2019,00206RCT7
3/8/2019,00185AAK0
3/8/2019,002824BF6
3/8/2019,00928QAR2
3/8/2019,037833CH1
3/8/2019,084659AF8
3/8/2019,12503MAA6
3/8/2019,126650CF5
3/8/2019,22160KAM7
3/8/2019,25746UCK3
3/8/2019,26884UAC3
3/8/2019,31428XBM7
3/8/2019,03040WAQ8
3/8/2019,45866FAD6
3/8/2019,539830BH1
3/8/2019,55336VAS9
3/8/2019,571748AR3
3/8/2019,78409VAD6
3/8/2019,67066GAE4
3/8/2019,742651DV1
3/8/2019,67103HAE7
3/8/2019,693475AP0
3/8/2019,808513AM7
3/8/2019,741503AW6
3/8/2019,816851BA6
3/8/2019,913017CQ0
3/8/2019,844741BC1
3/8/2019,880591ER9
3/8/2019,89641UAC5
3/8/2019,91324PDN9
3/11/2019,U24724AK9
3/11/2019,G53770AB2
3/11/2019,36962GT95
3/11/2019,C4535AAB6
3/11/2019,451102BF3
3/11/2019,G0788KAA4
3/11/2019,P09646AE3
3/11/2019,71647NAF6
3/11/2019,496902AN7
3/11/2019,J7596PAK5
3/11/2019,G07402DN0
3/11/2019,F1R15XK69
3/11/2019,47233JAG3
3/11/2019,040114GX2
3/11/2019,71647NAM1
3/11/2019,G30376AB6
3/11/2019,279158AL3
3/11/2019,71654QCF7
3/12/2019,P7S16JAU2
3/12/2019,629568BB1
3/12/2019,P14486AM9
3/12/2019,530715AJ0
3/12/2019,364760AK4
3/12/2019,P14623AB1
3/12/2019,680665AJ5
3/12/2019,87264AAV7
3/13/2019,71656MAF6
3/13/2019,88167AAE1
3/13/2019,345370CR9
3/13/2019,36962GT95
3/13/2019,46556MAF9
3/13/2019,91911TAP8
3/13/2019,172967KB6
3/13/2019,50076QAU0
3/13/2019,80282KAD8
3/13/2019,52736RBG6
3/14/2019,71647NAY5
3/14/2019,71645WAQ4
3/14/2019,97381WAN4
3/14/2019,71656MAF6
3/14/2019,P3772WAH5
3/14/2019,P8S090HT6
3/14/2019,64971QCH4
3/15/2019,G0732RAF5
3/15/2019,G42045AB3
3/15/2019,91911TAP8
3/15/2019,06051GDZ9
3/15/2019,05968LAH5
3/15/2019,635405AM5
3/15/2019,68389XAG0
3/15/2019,30219GAH1
3/15/2019,G47661AA4
3/15/2019,05252FAD2
3/15/2019,58013MEX8
3/15/2019,58013MFF6
3/15/2019,71647NAF6
3/15/2019,71647NAM1
3/15/2019,191216BE9
3/15/2019,345370BY5
3/15/2019,009158AT3
3/15/2019,002824BA7
3/15/2019,931422AH2
3/15/2019,532457BQ0
3/15/2019,P0101KAA4
3/15/2019,742718EB1
3/15/2019,58013MEM2
3/15/2019,58013MEL4
3/15/2019,71647NAY5
3/15/2019,61745EX55
3/18/2019,F2893TAF3
3/18/2019,71654QBB7
3/18/2019,25152R5D1
3/18/2019,P32457AA4
3/18/2019,F1R15XK51
3/18/2019,71656MAF6
3/18/2019,040114HK9
3/18/2019,P19157AR0
3/19/2019,89153VAM1
3/19/2019,01609WAC6
3/19/2019,02209SAT0
3/19/2019,03523TBH0
3/19/2019,02209SAJ2
3/19/2019,06739FFS5
3/19/2019,134429BB4
3/19/2019,21036PAU2
3/19/2019,247361ZK7
3/19/2019,30161MAF0
3/19/2019,292505AH7
3/19/2019,345397XF5
3/19/2019,37045XBP0
3/19/2019,87927VAM0
3/19/2019,38141GVW1
3/19/2019,913017BR9
3/19/2019,345397WY5
3/19/2019,844741BA5
3/19/2019,80282KAD8
3/19/2019,89236TBP9
3/19/2019,984121CA9
3/19/2019,472319AF9
3/19/2019,50076QAU0
3/19/2019,71654QAU6
3/19/2019,61760QDH4
3/19/2019,761713BT2
3/19/2019,685218AC3
3/19/2019,65339KAL4
3/19/2019,P79171AE7
3/19/2019,65334HAK8
3/20/2019,708399AB6
3/20/2019,U65478AY2
3/20/2019,P989MJBG5
3/20/2019,P56226AC0
3/20/2019,29082AAA5
3/20/2019,03512TAA9
3/20/2019,88167AAC5
3/20/2019,88732JAW8
3/20/2019,37045XBM7
3/20/2019,63938CAB4
3/20/2019,61761JB32
3/20/2019,94974BGM6
3/20/2019,71647NAR0
3/20/2019,105756BE9
3/20/2019,P0605NAA9
3/20/2019,25152RXA6
3/20/2019,345370CR9
3/20/2019,P3579ECB1
3/21/2019,71654QCC4
3/21/2019,71647NAM1
3/21/2019,71647NAY5
3/21/2019,05968LAB8
3/21/2019,71647NAK5
3/22/2019,61747YCG8
3/22/2019,81180WAR2
3/22/2019,71647NAY5
3/22/2019,71647NAF6
3/22/2019,38141GWC4
3/22/2019,172967LQ2
3/22/2019,91911TAP8
3/25/2019,U3829QAA0
3/25/2019,105756BB5
3/25/2019,U96217AA9
3/25/2019,120568AZ3
3/25/2019,251525AP6
3/25/2019,984121CJ0
3/25/2019,586805AH6
3/25/2019,172967JL6
3/26/2019,71883RLT8
3/26/2019,620076BB4
3/26/2019,466313AH6
3/26/2019,675232AA0
3/26/2019,P3772WAF9
3/27/2019,767754AJ3
3/27/2019,U0901CAG5
3/27/2019,35906AAW8
3/27/2019,97381WAN4
3/27/2019,C10602AY3
3/27/2019,577778CE1
3/27/2019,N55218AG1
3/27/2019,P3579EBV8
3/27/2019,71647NBD0
3/27/2019,780097AU5
3/27/2019,110122BB3
3/28/2019,88579YAG6
3/28/2019,635405AM5
3/28/2019,P3772WAF9
3/28/2019,172967KK6
3/28/2019,G2585XAA7
3/28/2019,P28768AB8
3/28/2019,156700AM8
3/28/2019,94974BGA2
3/28/2019,94974BEV8
3/28/2019,931142DQ3
3/28/2019,92343VBT0
3/28/2019,89114QAS7
3/28/2019,85771PAX0
3/28/2019,857477AG8
3/28/2019,G07402DN0
3/28/2019,80282KAE6
3/28/2019,61761JVL0
3/28/2019,61747WAL3
3/28/2019,59156RBH0
3/28/2019,494550BL9
3/28/2019,38141EA66
3/28/2019,037833AL4
3/28/2019,46556MAJ1
3/28/2019,00206RCG5
3/28/2019,023135AZ9
3/28/2019,713448BY3
3/28/2019,12803X2B6
3/28/2019,P989MJBE0
3/28/2019,38141GGM0
3/28/2019,46625HHZ6
3/28/2019,89153VAE9
3/29/2019,91911TAP8
3/29/2019,040114HF0
3/29/2019,P3063DAA0
3/29/2019,05565QCS5
3/29/2019,172967HT1
3/29/2019,38141GVM3
4/1/2019,25152R5D1
4/1/2019,459200JE2
4/1/2019,064159HT6
4/1/2019,06367THQ6
4/1/2019,U30388AB5
4/1/2019,691582FP0
4/1/2019,92857WBQ2
4/1/2019,002824BA7
4/1/2019,00817YAV0
4/1/2019,06051GFL8
4/1/2019,P31442AC3
4/1/2019,023135AW6
4/1/2019,03523TBP2
4/1/2019,05723KAD2
4/1/2019,00287YAX7
4/1/2019,71654QBG6
4/1/2019,89236TDK8
4/1/2019,025816BM0
4/2/2019,984121CD3
4/2/2019,P3311RBA8
4/2/2019,172967KB6
4/2/2019,P5880CAB6
4/2/2019,761713BS4
4/2/2019,71647NAY5
4/3/2019,253651AC7
4/3/2019,L21779AA8
4/3/2019,P3772WAB8
4/3/2019,576544S92
4/3/2019,U37818AU2
4/3/2019,931142DV2
4/4/2019,172967KA8
4/4/2019,345370BY5
4/4/2019,P1R027AA2
4/4/2019,L4441RAA4
4/5/2019,586805AH6
4/5/2019,64971XGQ5
4/5/2019,P16259AL0
4/5/2019,06740L8C2
4/5/2019,780099CH8
4/5/2019,05581LAB5
4/5/2019,P90187AE8
4/5/2019,279158AK5
4/5/2019,G3925DAA8
4/8/2019,G07402DP5
4/8/2019,F2893TAF3
4/8/2019,35671DBJ3
4/8/2019,06738EAG0
4/8/2019,94974BGM6
4/8/2019,61747YDW2
4/8/2019,06051GFT1
4/8/2019,38145GAJ9
4/8/2019,80282KAD8
4/9/2019,172967KB6
4/9/2019,P32086AL7
4/9/2019,708130AC3
4/9/2019,71647NAM1
4/9/2019,C6900PAD1
4/9/2019,P1905CAE0
4/9/2019,68375NAD5
4/9/2019,78442FEJ3
4/9/2019,G20011AC9
4/9/2019,31572UAE6
4/10/2019,064159HT6
4/10/2019,576544S92
4/10/2019,74526QUZ3
4/10/2019,74526QWP3
4/10/2019,74526QXU1
4/10/2019,963320AW6
4/10/2019,71654QBB7
4/10/2019,172967KB6
4/10/2019,38141GVX9
4/10/2019,451102BF3
4/10/2019,88165FAG7
4/10/2019,73358WZT4
4/10/2019,767754CH5
4/11/2019,05946KAD3
4/11/2019,89236TDH5
4/11/2019,61768CLZ8
4/11/2019,P3063DAA0
4/11/2019,P989MJBG5
